GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0400000US13,13,Georgia,49620,245
8600000US30002,30002,ZCTA5 30002,47386,8840
8600000US30004,30004,ZCTA5 30004,97234,3690
8600000US30005,30005,ZCTA5 30005,106516,12158
8600000US30008,30008,ZCTA5 30008,46068,6717
8600000US30009,30009,ZCTA5 30009,78308,10327
8600000US30011,30011,ZCTA5 30011,57063,6427
8600000US30012,30012,ZCTA5 30012,38745,3461
8600000US30013,30013,ZCTA5 30013,49396,3576
8600000US30014,30014,ZCTA5 30014,44702,2096
8600000US30016,30016,ZCTA5 30016,50727,3136
8600000US30017,30017,ZCTA5 30017,85333,6902
8600000US30019,30019,ZCTA5 30019,84446,8252
8600000US30021,30021,ZCTA5 30021,32877,2077
8600000US30022,30022,ZCTA5 30022,98544,3575
8600000US30024,30024,ZCTA5 30024,101390,4450
8600000US30025,30025,ZCTA5 30025,50583,4912
8600000US30028,30028,ZCTA5 30028,71585,3737
8600000US30030,30030,ZCTA5 30030,69721,5528
8600000US30032,30032,ZCTA5 30032,33524,1676
8600000US30033,30033,ZCTA5 30033,61892,3468
8600000US30034,30034,ZCTA5 30034,47500,3156
8600000US30035,30035,ZCTA5 30035,43483,4529
8600000US30038,30038,ZCTA5 30038,47907,6014
8600000US30039,30039,ZCTA5 30039,55770,5019
8600000US30040,30040,ZCTA5 30040,84462,3408
8600000US30041,30041,ZCTA5 30041,98269,5873
8600000US30043,30043,ZCTA5 30043,65376,3154
8600000US30044,30044,ZCTA5 30044,51974,1952
8600000US30045,30045,ZCTA5 30045,73186,7688
8600000US30046,30046,ZCTA5 30046,43610,4303
8600000US30047,30047,ZCTA5 30047,67644,4164
8600000US30052,30052,ZCTA5 30052,64492,3499
8600000US30054,30054,ZCTA5 30054,56667,8811
8600000US30055,30055,ZCTA5 30055,61094,13853
8600000US30056,30056,ZCTA5 30056,53646,10527
8600000US30058,30058,ZCTA5 30058,46924,2165
8600000US30060,30060,ZCTA5 30060,37324,2075
8600000US30062,30062,ZCTA5 30062,88063,3868
8600000US30064,30064,ZCTA5 30064,76000,2496
8600000US30066,30066,ZCTA5 30066,80766,5024
8600000US30067,30067,ZCTA5 30067,51088,2569
8600000US30068,30068,ZCTA5 30068,98786,8317
8600000US30070,30070,ZCTA5 30070,34205,13772
8600000US30071,30071,ZCTA5 30071,40915,3459
8600000US30072,30072,ZCTA5 30072,52083,9768
8600000US30075,30075,ZCTA5 30075,102258,3562
8600000US30076,30076,ZCTA5 30076,70896,4439
8600000US30078,30078,ZCTA5 30078,64383,5691
8600000US30079,30079,ZCTA5 30079,35313,11686
8600000US30080,30080,ZCTA5 30080,55830,3101
8600000US30082,30082,ZCTA5 30082,69338,5862
8600000US30083,30083,ZCTA5 30083,38007,1824
8600000US30084,30084,ZCTA5 30084,53445,2307
8600000US30087,30087,ZCTA5 30087,66620,4019
8600000US30088,30088,ZCTA5 30088,45749,2693
8600000US30092,30092,ZCTA5 30092,64005,4082
8600000US30093,30093,ZCTA5 30093,33950,1977
8600000US30094,30094,ZCTA5 30094,59485,4598
8600000US30096,30096,ZCTA5 30096,50167,2239
8600000US30097,30097,ZCTA5 30097,96390,7117
8600000US30101,30101,ZCTA5 30101,76105,4101
8600000US30102,30102,ZCTA5 30102,60664,4499
8600000US30103,30103,ZCTA5 30103,47106,5714
8600000US30104,30104,ZCTA5 30104,38556,5437
