GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
0400000US13,13,Georgia,49179,208
8600000US30002,30002,ZCTA5 30002,50174,8280
8600000US30004,30004,ZCTA5 30004,95922,2672
8600000US30005,30005,ZCTA5 30005,102230,8168
8600000US30008,30008,ZCTA5 30008,42707,3761
8600000US30009,30009,ZCTA5 30009,72798,8957
8600000US30011,30011,ZCTA5 30011,53907,3841
8600000US30012,30012,ZCTA5 30012,42890,3981
8600000US30013,30013,ZCTA5 30013,54572,3494
8600000US30014,30014,ZCTA5 30014,45837,3764
8600000US30016,30016,ZCTA5 30016,51550,3345
8600000US30017,30017,ZCTA5 30017,78783,8270
8600000US30019,30019,ZCTA5 30019,77872,7348
8600000US30021,30021,ZCTA5 30021,31612,1973
8600000US30022,30022,ZCTA5 30022,99597,5988
8600000US30024,30024,ZCTA5 30024,99931,4106
8600000US30025,30025,ZCTA5 30025,49868,4449
8600000US30028,30028,ZCTA5 30028,66724,6015
8600000US30030,30030,ZCTA5 30030,66134,6530
8600000US30032,30032,ZCTA5 30032,33475,2115
8600000US30033,30033,ZCTA5 30033,59997,2348
8600000US30034,30034,ZCTA5 30034,48210,3427
8600000US30035,30035,ZCTA5 30035,41584,5093
8600000US30038,30038,ZCTA5 30038,48856,3481
8600000US30039,30039,ZCTA5 30039,60819,3581
8600000US30040,30040,ZCTA5 30040,81378,3419
8600000US30041,30041,ZCTA5 30041,92733,3518
8600000US30043,30043,ZCTA5 30043,67260,2402
8600000US30044,30044,ZCTA5 30044,51827,1570
8600000US30045,30045,ZCTA5 30045,71401,6974
8600000US30046,30046,ZCTA5 30046,47003,3056
8600000US30047,30047,ZCTA5 30047,67395,3416
8600000US30052,30052,ZCTA5 30052,63338,3317
8600000US30054,30054,ZCTA5 30054,60798,5963
8600000US30055,30055,ZCTA5 30055,60568,14055
