GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0400000US13,13,Georgia,49342,215
8600000US30002,30002,ZCTA5 30002,47297,6761
8600000US30004,30004,ZCTA5 30004,96036,2960
8600000US30005,30005,ZCTA5 30005,102174,8918
8600000US30008,30008,ZCTA5 30008,44246,4359
8600000US30009,30009,ZCTA5 30009,75379,7785
8600000US30011,30011,ZCTA5 30011,58146,6535
8600000US30012,30012,ZCTA5 30012,41987,3506
8600000US30013,30013,ZCTA5 30013,51184,4179
8600000US30014,30014,ZCTA5 30014,44316,2106
8600000US30016,30016,ZCTA5 30016,50869,3270
8600000US30017,30017,ZCTA5 30017,82435,8506
8600000US30019,30019,ZCTA5 30019,82132,7127
8600000US30021,30021,ZCTA5 30021,30838,3223
8600000US30022,30022,ZCTA5 30022,97819,4976
8600000US30024,30024,ZCTA5 30024,100690,3898
8600000US30025,30025,ZCTA5 30025,51012,5642
8600000US30028,30028,ZCTA5 30028,70713,4446
8600000US30030,30030,ZCTA5 30030,68171,5714
8600000US30032,30032,ZCTA5 30032,32264,1393
8600000US30033,30033,ZCTA5 30033,59780,4149
8600000US30034,30034,ZCTA5 30034,46815,3533
8600000US30035,30035,ZCTA5 30035,40882,3516
8600000US30038,30038,ZCTA5 30038,47025,4454
8600000US30039,30039,ZCTA5 30039,56791,3399
8600000US30040,30040,ZCTA5 30040,82234,3741
8600000US30041,30041,ZCTA5 30041,96439,5605
8600000US30043,30043,ZCTA5 30043,66486,2732
8600000US30044,30044,ZCTA5 30044,51604,1513
8600000US30045,30045,ZCTA5 30045,75884,5847
8600000US30046,30046,ZCTA5 30046,45117,3536
8600000US30047,30047,ZCTA5 30047,66955,3745
8600000US30052,30052,ZCTA5 30052,64993,2685
8600000US30054,30054,ZCTA5 30054,60752,7760
8600000US30055,30055,ZCTA5 30055,60596,7217
8600000US30056,30056,ZCTA5 30056,49474,11127
8600000US30058,30058,ZCTA5 30058,46459,2602
8600000US30060,30060,ZCTA5 30060,37162,2443
8600000US30062,30062,ZCTA5 30062,87302,4601
8600000US30064,30064,ZCTA5 30064,75597,2527
