GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US13,13,Georgia,51037,182
8600000US28906,28906,ZCTA5 28906,36116,2113
8600000US30002,30002,ZCTA5 30002,48403,9679
8600000US30004,30004,ZCTA5 30004,100666,5086
8600000US30005,30005,ZCTA5 30005,119411,10265
8600000US30008,30008,ZCTA5 30008,44509,4331
8600000US30009,30009,ZCTA5 30009,75725,7572
8600000US30011,30011,ZCTA5 30011,59442,5855
8600000US30012,30012,ZCTA5 30012,37450,4205
8600000US30013,30013,ZCTA5 30013,50688,3472
8600000US30014,30014,ZCTA5 30014,44765,2302
8600000US30016,30016,ZCTA5 30016,55089,2519
8600000US30017,30017,ZCTA5 30017,82696,6501
8600000US30019,30019,ZCTA5 30019,87881,6713
8600000US30021,30021,ZCTA5 30021,32000,2567
8600000US30022,30022,ZCTA5 30022,98762,3163
8600000US30024,30024,ZCTA5 30024,102181,4279
8600000US30025,30025,ZCTA5 30025,63480,9624
8600000US30028,30028,ZCTA5 30028,74303,6250
8600000US30030,30030,ZCTA5 30030,70666,3959
8600000US30032,30032,ZCTA5 30032,35117,2127
8600000US30033,30033,ZCTA5 30033,64480,3121
8600000US30034,30034,ZCTA5 30034,46656,3880
8600000US30035,30035,ZCTA5 30035,42585,3329
8600000US30038,30038,ZCTA5 30038,50302,5048
8600000US30039,30039,ZCTA5 30039,56760,4088
8600000US30040,30040,ZCTA5 30040,88668,2102
8600000US30041,30041,ZCTA5 30041,98458,6090
8600000US30043,30043,ZCTA5 30043,69788,3049
8600000US30044,30044,ZCTA5 30044,54220,2724
8600000US30045,30045,ZCTA5 30045,75470,5818
8600000US30046,30046,ZCTA5 30046,41971,3487
8600000US30047,30047,ZCTA5 30047,66139,3862
8600000US30052,30052,ZCTA5 30052,64749,2825
8600000US30054,30054,ZCTA5 30054,53786,3373
8600000US30055,30055,ZCTA5 30055,57026,11221
8600000US30056,30056,ZCTA5 30056,47702,8707
8600000US30058,30058,ZCTA5 30058,47191,1927
8600000US30060,30060,ZCTA5 30060,39267,2466
8600000US30062,30062,ZCTA5 30062,88513,3836
8600000US30064,30064,ZCTA5 30064,80652,4683
8600000US30066,30066,ZCTA5 30066,84430,4094
8600000US30067,30067,ZCTA5 30067,54956,2274
8600000US30068,30068,ZCTA5 30068,104227,5149
8600000US30070,30070,ZCTA5 30070,32813,12657
8600000US30071,30071,ZCTA5 30071,41484,3253
8600000US30072,30072,ZCTA5 30072,46932,10083
8600000US30075,30075,ZCTA5 30075,105642,3436
8600000US30076,30076,ZCTA5 30076,70697,4156
8600000US30078,30078,ZCTA5 30078,61909,4607
8600000US30079,30079,ZCTA5 30079,42642,5564
8600000US30080,30080,ZCTA5 30080,60573,2985
8600000US30082,30082,ZCTA5 30082,72218,4452
8600000US30083,30083,ZCTA5 30083,37052,2108
8600000US30084,30084,ZCTA5 30084,58759,5843
8600000US30087,30087,ZCTA5 30087,67672,5004
8600000US30088,30088,ZCTA5 30088,47962,4074
8600000US30092,30092,ZCTA5 30092,63512,3709
8600000US30093,30093,ZCTA5 30093,35811,1647
8600000US30094,30094,ZCTA5 30094,60934,3680
8600000US30096,30096,ZCTA5 30096,52252,2339
8600000US30097,30097,ZCTA5 30097,96863,6296
8600000US30101,30101,ZCTA5 30101,81097,3850
8600000US30102,30102,ZCTA5 30102,60699,3651
8600000US30103,30103,ZCTA5 30103,43661,4809
8600000US30104,30104,ZCTA5 30104,51354,9554
8600000US30105,30105,ZCTA5 30105,56286,10734
8600000US30106,30106,ZCTA5 30106,44817,7252
8600000US30107,30107,ZCTA5 30107,66709,5528
8600000US30108,30108,ZCTA5 30108,39750,7147
8600000US30110,30110,ZCTA5 30110,43459,9746
