GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
8600000US30171,30171,ZCTA5 30171,65657,8297
8600000US30173,30173,ZCTA5 30173,49638,8217
8600000US30175,30175,ZCTA5 30175,41824,5657
8600000US30176,30176,ZCTA5 30176,33333,5803
8600000US30177,30177,ZCTA5 30177,34511,8176
8600000US30178,30178,ZCTA5 30178,62135,6808
8600000US30179,30179,ZCTA5 30179,52526,6665
8600000US30180,30180,ZCTA5 30180,58354,3778
8600000US30182,30182,ZCTA5 30182,34280,17304
8600000US30183,30183,ZCTA5 30183,56729,6975
8600000US30184,30184,ZCTA5 30184,54698,17473
8600000US30185,30185,ZCTA5 30185,51807,3781
8600000US30187,30187,ZCTA5 30187,67639,9049
8600000US30188,30188,ZCTA5 30188,69412,4146
8600000US30189,30189,ZCTA5 30189,75732,4208
8600000US30204,30204,ZCTA5 30204,36621,2219
8600000US30205,30205,ZCTA5 30205,75000,9376
8600000US30206,30206,ZCTA5 30206,53269,8731
8600000US30213,30213,ZCTA5 30213,57373,4127
8600000US30214,30214,ZCTA5 30214,66882,5253
8600000US30215,30215,ZCTA5 30215,86272,3600
8600000US30216,30216,ZCTA5 30216,56394,11856
8600000US30217,30217,ZCTA5 30217,40574,7465
8600000US30218,30218,ZCTA5 30218,50893,16583
8600000US30220,30220,ZCTA5 30220,50833,10706
8600000US30222,30222,ZCTA5 30222,38167,12455
8600000US30223,30223,ZCTA5 30223,37196,2659
8600000US30224,30224,ZCTA5 30224,44188,3019
8600000US30228,30228,ZCTA5 30228,56799,4493
8600000US30230,30230,ZCTA5 30230,37120,4837
8600000US30233,30233,ZCTA5 30233,49252,6318
8600000US30234,30234,ZCTA5 30234,60893,11380
8600000US30236,30236,ZCTA5 30236,44099,1864
8600000US30238,30238,ZCTA5 30238,47170,2104
8600000US30240,30240,ZCTA5 30240,45861,4372
8600000US30241,30241,ZCTA5 30241,40271,3324
8600000US30248,30248,ZCTA5 30248,70389,3339
8600000US30250,30250,ZCTA5 30250,-,**
8600000US30251,30251,ZCTA5 30251,42875,10245
8600000US30252,30252,ZCTA5 30252,79697,3879
8600000US30253,30253,ZCTA5 30253,60857,2789
8600000US30256,30256,ZCTA5 30256,53188,10392
8600000US30257,30257,ZCTA5 30257,49945,7974
8600000US30258,30258,ZCTA5 30258,55776,14984
8600000US30259,30259,ZCTA5 30259,46850,8528
8600000US30260,30260,ZCTA5 30260,43072,3145
8600000US30263,30263,ZCTA5 30263,48037,2910
8600000US30265,30265,ZCTA5 30265,69990,4407
8600000US30268,30268,ZCTA5 30268,42377,13913
8600000US30269,30269,ZCTA5 30269,90240,4451
8600000US30273,30273,ZCTA5 30273,51045,5542
8600000US30274,30274,ZCTA5 30274,37882,2279
8600000US30275,30275,ZCTA5 30275,-,**
8600000US30276,30276,ZCTA5 30276,60976,4429
8600000US30277,30277,ZCTA5 30277,75061,4832
8600000US30281,30281,ZCTA5 30281,56475,1675
8600000US30284,30284,ZCTA5 30284,71000,91053
8600000US30285,30285,ZCTA5 30285,41500,17480
8600000US30286,30286,ZCTA5 30286,32705,2062
8600000US30288,30288,ZCTA5 30288,55625,5902
8600000US30289,30289,ZCTA5 30289,54250,15116
8600000US30290,30290,ZCTA5 30290,93185,14761
8600000US30291,30291,ZCTA5 30291,37762,2780
8600000US30292,30292,ZCTA5 30292,58771,5372
8600000US30293,30293,ZCTA5 30293,35943,3323
8600000US30294,30294,ZCTA5 30294,59015,3908
8600000US30295,30295,ZCTA5 30295,50783,11176
8600000US30296,30296,ZCTA5 30296,50819,3425
8600000US30297,30297,ZCTA5 30297,30980,3231
8600000US30303,30303,ZCTA5 30303,35030,18536
8600000US30305,30305,ZCTA5 30305,83806,11154
8600000US30306,30306,ZCTA5 30306,79614,5500
8600000US30307,30307,ZCTA5 30307,74378,3465
8600000US30308,30308,ZCTA5 30308,50160,4618
8600000US30309,30309,ZCTA5 30309,71772,4894
8600000US30310,30310,ZCTA5 30310,25280,2419
8600000US30311,30311,ZCTA5 30311,29346,2086
8600000US30312,30312,ZCTA5 30312,44217,3314
8600000US30313,30313,ZCTA5 30313,31886,7848
8600000US30314,30314,ZCTA5 30314,22400,3236
8600000US30315,30315,ZCTA5 30315,23608,1795
8600000US30316,30316,ZCTA5 30316,43474,3220
8600000US30317,30317,ZCTA5 30317,46818,7193
8600000US30318,30318,ZCTA5 30318,38721,2519
8600000US30319,30319,ZCTA5 30319,80740,3818
8600000US30322,30322,ZCTA5 30322,-,**
8600000US30324,30324,ZCTA5 30324,61728,3343
8600000US30326,30326,ZCTA5 30326,78966,11593
8600000US30327,30327,ZCTA5 30327,130270,17657
8600000US30328,30328,ZCTA5 30328,76595,8083
8600000US30329,30329,ZCTA5 30329,43660,3522
8600000US30331,30331,ZCTA5 30331,41990,1712
8600000US30332,30332,ZCTA5 30332,-,**
8600000US30334,30334,ZCTA5 30334,-,**
8600000US30336,30336,ZCTA5 30336,36681,7690
8600000US30337,30337,ZCTA5 30337,33909,4448
8600000US30338,30338,ZCTA5 30338,82572,2833
8600000US30339,30339,ZCTA5 30339,60933,5188
8600000US30340,30340,ZCTA5 30340,43068,2677
8600000US30341,30341,ZCTA5 30341,56557,3479
8600000US30342,30342,ZCTA5 30342,70619,7862
8600000US30344,30344,ZCTA5 30344,40443,2792
8600000US30345,30345,ZCTA5 30345,69539,4746
8600000US30346,30346,ZCTA5 30346,54082,10601
8600000US30349,30349,ZCTA5 30349,45074,2683
8600000US30350,30350,ZCTA5 30350,54952,5183
8600000US30354,30354,ZCTA5 30354,28016,3516
8600000US30360,30360,ZCTA5 30360,47792,5152
8600000US30363,30363,ZCTA5 30363,65172,17102
8600000US30401,30401,ZCTA5 30401,29794,2837
8600000US30410,30410,ZCTA5 30410,43438,13834
8600000US30411,30411,ZCTA5 30411,31488,5440
8600000US30412,30412,ZCTA5 30412,66875,28573
8600000US30413,30413,ZCTA5 30413,32267,17629
8600000US30415,30415,ZCTA5 30415,50942,8394
8600000US30417,30417,ZCTA5 30417,37543,3586
8600000US30420,30420,ZCTA5 30420,28088,9461
8600000US30421,30421,ZCTA5 30421,25074,9291
8600000US30423,30423,ZCTA5 30423,44063,35613
8600000US30425,30425,ZCTA5 30425,36406,13481
8600000US30426,30426,ZCTA5 30426,38313,5539
8600000US30427,30427,ZCTA5 30427,38505,5812
8600000US30428,30428,ZCTA5 30428,32679,9539
8600000US30429,30429,ZCTA5 30429,23313,25535
8600000US30434,30434,ZCTA5 30434,32135,5304
8600000US30436,30436,ZCTA5 30436,34746,5578
8600000US30438,30438,ZCTA5 30438,66094,51266
8600000US30439,30439,ZCTA5 30439,36929,4083
8600000US30441,30441,ZCTA5 30441,33967,12255
8600000US30442,30442,ZCTA5 30442,24877,2196
8600000US30445,30445,ZCTA5 30445,29044,6078
8600000US30446,30446,ZCTA5 30446,42917,20015
8600000US30448,30448,ZCTA5 30448,48750,45447
8600000US30449,30449,ZCTA5 30449,14211,9446
8600000US30450,30450,ZCTA5 30450,35284,9139
8600000US30451,30451,ZCTA5 30451,31563,33615
8600000US30452,30452,ZCTA5 30452,37955,7563
8600000US30453,30453,ZCTA5 30453,32185,7320
8600000US30454,30454,ZCTA5 30454,35978,10386
8600000US30455,30455,ZCTA5 30455,25385,7509
8600000US30456,30456,ZCTA5 30456,40050,9051
8600000US30457,30457,ZCTA5 30457,28304,7360
8600000US30458,30458,ZCTA5 30458,25839,2045
8600000US30460,30460,ZCTA5 30460,-,**
8600000US30461,30461,ZCTA5 30461,50229,4655
8600000US30464,30464,ZCTA5 30464,21477,19476
8600000US30467,30467,ZCTA5 30467,32363,3525
8600000US30470,30470,ZCTA5 30470,37102,56552
8600000US30471,30471,ZCTA5 30471,33460,3552
8600000US30473,30473,ZCTA5 30473,36250,8557
8600000US30474,30474,ZCTA5 30474,31628,2672
8600000US30475,30475,ZCTA5 30475,-,**
8600000US30477,30477,ZCTA5 30477,21526,3726
8600000US30501,30501,ZCTA5 30501,33854,3256
8600000US30504,30504,ZCTA5 30504,41825,2849
8600000US30506,30506,ZCTA5 30506,64240,3094
8600000US30507,30507,ZCTA5 30507,50119,3117
8600000US30510,30510,ZCTA5 30510,35105,3288
8600000US30511,30511,ZCTA5 30511,38854,7315
8600000US30512,30512,ZCTA5 30512,43024,2410
8600000US30513,30513,ZCTA5 30513,33526,3545
8600000US30516,30516,ZCTA5 30516,29474,5869
8600000US30517,30517,ZCTA5 30517,60553,4485
8600000US30518,30518,ZCTA5 30518,66111,3616
8600000US30519,30519,ZCTA5 30519,71928,3155
8600000US30520,30520,ZCTA5 30520,37730,7506
8600000US30521,30521,ZCTA5 30521,29781,12430
8600000US30522,30522,ZCTA5 30522,33750,19490
8600000US30523,30523,ZCTA5 30523,47891,6255
8600000US30525,30525,ZCTA5 30525,29331,5370
8600000US30527,30527,ZCTA5 30527,62668,6461
8600000US30528,30528,ZCTA5 30528,37393,5096
8600000US30529,30529,ZCTA5 30529,41370,4009
8600000US30530,30530,ZCTA5 30530,46044,6134
8600000US30531,30531,ZCTA5 30531,34772,4361
8600000US30533,30533,ZCTA5 30533,41905,3172
8600000US30534,30534,ZCTA5 30534,51976,2511
8600000US30535,30535,ZCTA5 30535,39180,6261
8600000US30536,30536,ZCTA5 30536,41781,5123
8600000US30537,30537,ZCTA5 30537,55742,19693
8600000US30538,30538,ZCTA5 30538,37813,3801
8600000US30540,30540,ZCTA5 30540,34684,3144
8600000US30541,30541,ZCTA5 30541,37440,20653
8600000US30542,30542,ZCTA5 30542,68584,3363
8600000US30543,30543,ZCTA5 30543,53046,6066
8600000US30545,30545,ZCTA5 30545,27188,17562
8600000US30546,30546,ZCTA5 30546,38273,2356
8600000US30547,30547,ZCTA5 30547,41050,10319
8600000US30548,30548,ZCTA5 30548,76398,4678
8600000US30549,30549,ZCTA5 30549,56605,4722
8600000US30552,30552,ZCTA5 30552,25313,16151
8600000US30553,30553,ZCTA5 30553,33380,6368
8600000US30554,30554,ZCTA5 30554,47978,7222
8600000US30555,30555,ZCTA5 30555,37250,6941
8600000US30557,30557,ZCTA5 30557,40133,6061
8600000US30558,30558,ZCTA5 30558,37865,6955
8600000US30559,30559,ZCTA5 30559,35464,7207
8600000US30560,30560,ZCTA5 30560,33425,5229
8600000US30562,30562,ZCTA5 30562,22368,6410
8600000US30563,30563,ZCTA5 30563,46343,6077
8600000US30564,30564,ZCTA5 30564,65707,12418
8600000US30565,30565,ZCTA5 30565,42326,9974
8600000US30566,30566,ZCTA5 30566,43770,5525
8600000US30567,30567,ZCTA5 30567,48519,12545
8600000US30568,30568,ZCTA5 30568,43500,18388
8600000US30571,30571,ZCTA5 30571,55859,13986
8600000US30572,30572,ZCTA5 30572,29091,11565
8600000US30573,30573,ZCTA5 30573,23929,16478
8600000US30575,30575,ZCTA5 30575,47273,14000
8600000US30576,30576,ZCTA5 30576,42894,12739
8600000US30577,30577,ZCTA5 30577,36921,2993
8600000US30581,30581,ZCTA5 30581,-,**
8600000US30582,30582,ZCTA5 30582,50038,10287
8600000US30601,30601,ZCTA5 30601,21461,2382
8600000US30602,30602,ZCTA5 30602,"2,500-",***
8600000US30605,30605,ZCTA5 30605,30982,1935
8600000US30606,30606,ZCTA5 30606,42881,3325
8600000US30607,30607,ZCTA5 30607,46753,5188
8600000US30609,30609,ZCTA5 30609,-,**
8600000US30619,30619,ZCTA5 30619,68000,37562
8600000US30620,30620,ZCTA5 30620,63588,7444
8600000US30621,30621,ZCTA5 30621,69865,8404
8600000US30622,30622,ZCTA5 30622,56383,6442
8600000US30623,30623,ZCTA5 30623,27000,12781
8600000US30624,30624,ZCTA5 30624,37321,5409
8600000US30625,30625,ZCTA5 30625,46925,6301
8600000US30627,30627,ZCTA5 30627,31369,12949
8600000US30628,30628,ZCTA5 30628,44521,9876
8600000US30629,30629,ZCTA5 30629,40461,8930
8600000US30630,30630,ZCTA5 30630,53267,16211
8600000US30631,30631,ZCTA5 30631,25069,6074
8600000US30633,30633,ZCTA5 30633,41037,2237
8600000US30634,30634,ZCTA5 30634,40375,7095
8600000US30635,30635,ZCTA5 30635,32005,2155
8600000US30641,30641,ZCTA5 30641,71603,15580
8600000US30642,30642,ZCTA5 30642,42555,5089
8600000US30643,30643,ZCTA5 30643,35899,3203
8600000US30646,30646,ZCTA5 30646,40487,4715
8600000US30648,30648,ZCTA5 30648,36372,22882
8600000US30650,30650,ZCTA5 30650,47744,8660
8600000US30655,30655,ZCTA5 30655,40318,2714
8600000US30656,30656,ZCTA5 30656,53125,3636
8600000US30660,30660,ZCTA5 30660,40089,17766
8600000US30662,30662,ZCTA5 30662,33567,5464
8600000US30663,30663,ZCTA5 30663,40913,3814
8600000US30664,30664,ZCTA5 30664,20536,2621
8600000US30665,30665,ZCTA5 30665,24821,23931
8600000US30666,30666,ZCTA5 30666,48359,5574
8600000US30667,30667,ZCTA5 30667,35880,15019
8600000US30668,30668,ZCTA5 30668,25326,6387
8600000US30669,30669,ZCTA5 30669,28766,3548
8600000US30673,30673,ZCTA5 30673,29577,2889
8600000US30677,30677,ZCTA5 30677,74531,6391
8600000US30678,30678,ZCTA5 30678,36806,7729
8600000US30680,30680,ZCTA5 30680,50029,2980
8600000US30683,30683,ZCTA5 30683,48991,6255
8600000US30701,30701,ZCTA5 30701,44196,2633
8600000US30705,30705,ZCTA5 30705,36450,2736
8600000US30707,30707,ZCTA5 30707,43195,2801
8600000US30708,30708,ZCTA5 30708,55850,27776
8600000US30710,30710,ZCTA5 30710,43688,8280
8600000US30711,30711,ZCTA5 30711,33844,5766
8600000US30720,30720,ZCTA5 30720,45701,3248
8600000US30721,30721,ZCTA5 30721,37455,2343
8600000US30725,30725,ZCTA5 30725,38086,8203
8600000US30726,30726,ZCTA5 30726,-,**
8600000US30728,30728,ZCTA5 30728,38413,2731
8600000US30730,30730,ZCTA5 30730,34550,7438
8600000US30731,30731,ZCTA5 30731,30489,4103
8600000US30733,30733,ZCTA5 30733,35855,8656
8600000US30734,30734,ZCTA5 30734,32206,6304
8600000US30735,30735,ZCTA5 30735,39950,2655
8600000US30736,30736,ZCTA5 30736,55725,2552
8600000US30738,30738,ZCTA5 30738,51573,9207
8600000US30739,30739,ZCTA5 30739,60847,12007
8600000US30740,30740,ZCTA5 30740,57941,8229
8600000US30741,30741,ZCTA5 30741,34944,2714
8600000US30742,30742,ZCTA5 30742,30412,4958
8600000US30746,30746,ZCTA5 30746,55184,33124
8600000US30747,30747,ZCTA5 30747,33638,2847
8600000US30750,30750,ZCTA5 30750,62955,9428
8600000US30751,30751,ZCTA5 30751,49545,171336
8600000US30752,30752,ZCTA5 30752,41283,2986
8600000US30753,30753,ZCTA5 30753,32891,4040
8600000US30755,30755,ZCTA5 30755,41615,6267
8600000US30756,30756,ZCTA5 30756,50625,95279
8600000US30757,30757,ZCTA5 30757,30188,14294
8600000US30802,30802,ZCTA5 30802,61066,9425
8600000US30803,30803,ZCTA5 30803,24516,8774
8600000US30805,30805,ZCTA5 30805,41063,3480
8600000US30807,30807,ZCTA5 30807,19500,22485
8600000US30808,30808,ZCTA5 30808,39266,6322
8600000US30809,30809,ZCTA5 30809,91825,3610
8600000US30810,30810,ZCTA5 30810,35435,6814
8600000US30812,30812,ZCTA5 30812,-,**
8600000US30813,30813,ZCTA5 30813,53902,3063
8600000US30814,30814,ZCTA5 30814,39675,6080
8600000US30815,30815,ZCTA5 30815,50597,2203
8600000US30816,30816,ZCTA5 30816,32692,17062
8600000US30817,30817,ZCTA5 30817,36456,5402
8600000US30818,30818,ZCTA5 30818,38984,29035
8600000US30820,30820,ZCTA5 30820,46927,20978
8600000US30821,30821,ZCTA5 30821,19016,5911
8600000US30822,30822,ZCTA5 30822,17294,35287
8600000US30823,30823,ZCTA5 30823,35000,9854
8600000US30824,30824,ZCTA5 30824,35961,3672
8600000US30828,30828,ZCTA5 30828,34844,2586
8600000US30830,30830,ZCTA5 30830,30682,3245
8600000US30833,30833,ZCTA5 30833,33234,5201
8600000US30901,30901,ZCTA5 30901,17043,1826
8600000US30903,30903,ZCTA5 30903,69449,19490
8600000US30904,30904,ZCTA5 30904,30990,2063
8600000US30905,30905,ZCTA5 30905,43750,7561
8600000US30906,30906,ZCTA5 30906,36720,2354
8600000US30907,30907,ZCTA5 30907,62438,3151
8600000US30909,30909,ZCTA5 30909,42472,2275
8600000US30912,30912,ZCTA5 30912,-,**
8600000US31001,31001,ZCTA5 31001,32000,3591
8600000US31002,31002,ZCTA5 31002,36500,7807
8600000US31003,31003,ZCTA5 31003,61250,43078
8600000US31005,31005,ZCTA5 31005,69982,6357
8600000US31006,31006,ZCTA5 31006,32924,8120
8600000US31007,31007,ZCTA5 31007,34922,12500
8600000US31008,31008,ZCTA5 31008,51820,7159
8600000US31009,31009,ZCTA5 31009,35000,12738
